DFS,BFS,IDS,UCS,Astar
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']"
"['down', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']"
"['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']"
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']"
"['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']"
"['right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'right', 'down']","['right', 'down', 'left', 'down', 'right']","['right', 'down', 'left', 'down', 'right']","['right', 'down', 'left', 'down', 'right']","['right', 'down', 'left', 'down', 'right']"
"['down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'down']","['right', 'right', 'down', 'down']","['right', 'right', 'down', 'down']","['right', 'right', 'down', 'down']","['right', 'right', 'down', 'down']"
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'right', 'down']","['right', 'right', 'down']","['right', 'right', 'down']","['right', 'right', 'down']"
"['up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'down', 'right']","['right', 'down']","['right', 'down']","['right', 'down']","['right', 'down']"
"['up', 'left', 'down', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right']",['down'],['down'],['down'],['down']
"['down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'right', 'down']","['right', 'down', 'right', 'down']","['right', 'down', 'right', 'down']","['right', 'down', 'right', 'down']","['right', 'down', 'right', 'down']"
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'right']","['right', 'up', 'left', 'left', 'down', 'right', 'right', 'down']","['right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down']","['right', 'up', 'left', 'left', 'down', 'right', 'right', 'down']","['right', 'up', 'left', 'left', 'down', 'right', 'right', 'down']"
"['up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'down', 'right']","['left', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right']","['left', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'down', 'right']","['left', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right']","['left', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right']"
None,"['right', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down']","['right', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down']","['right', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down']",None
"['up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'right']","['up', 'right', 'up', 'left', 'down', 'down', 'right', 'right']","['up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'right']","['up', 'right', 'up', 'left', 'down', 'down', 'right', 'right']","['up', 'right', 'up', 'left', 'down', 'down', 'right', 'right']"
"['up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right']","['up', 'left', 'down', 'right']","['up', 'left', 'down', 'right']","['up', 'left', 'down', 'right']","['up', 'left', 'down', 'right']"
"['up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right']","['right', 'up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right']","['right', 'up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right']","['right', 'up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right']",None
None,"['right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']",None
"['down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']","['down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']","['down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']","['down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']","['down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']"
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'right']","['right', 'down', 'right']","['right', 'down', 'right']","['right', 'down', 'right']","['right', 'down', 'right']"
"['right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'down']","['right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'down']","['right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'down']","['right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'down']",None
None,"['left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'right', 'down', 'down']","['up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'down', 'right']","['left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'right', 'down', 'down']",None
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']","['right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down']","['down', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']","['right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down']",None
"['up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']","['left', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']","['left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'down']","['left', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']",None
"['down', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'down', 'right']","['down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'right']","['down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'right']","['down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'right']",None
None,"['right', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down']",None,"['right', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down']",None
None,"['down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'down']",None,"['down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'down']",None
None,"['up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'down']","['up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right']",None,None
None,"['left', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'down', 'down', 'right']","['left', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'right']","['left', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'down', 'down', 'right']",None
"['up', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'right', 'down']","['up', 'up', 'left', 'down', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right']","['up', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'right', 'down']",None,None
None,"['up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down']","['up', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'right', 'down']","['up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down']",None
"['left', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down']","['up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']","['left', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down']","['up', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']",None
"['left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'down']","['up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'right']","['left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'down']","['up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'right']",None
"['left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']","['up', 'up', 'left', 'left', 'down', 'right', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'right']","['left', 'up', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']",None,None
None,"['up', 'left', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'right', 'down']",None,None,None
"['left', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down']","['up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'right']","['left', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down']",None,None
None,"['up', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'right', 'down']",None,None,None
None,"['up', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'right', 'down']",None,None,None
None,"['up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right']","['up', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'right']",None,None
None,"['up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right']",None,None,None
None,"['left', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right']",None,None,None
None,"['up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'down']","['up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right']",None,None
None,"['up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down']",None,None,None
None,"['up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right']",None,None,None
"['left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']","['left', 'up', 'right', 'up', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']","['left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'down']",None,None
None,"['down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'right', 'down']",None,None,None
None,"['up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'right']",None,None,None
"['right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'right', 'down', 'down']","['right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'right', 'down', 'down']","['right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'right', 'down', 'down']",None,None
None,"['up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'right']",None,None,None
None,"['up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'right']",None,None,None
None,None,None,None,None
